year,gdp growth,tax revnue,govt expen,fdi
1975,9.149912016,9.024502908,9.487656216,-0.010486395
1976,1.663103638,9.181837991,9.779753316,-0.007502573
1977,7.254764588,8.597094206,9.209771941,-0.029682109
1978,5.712532089,9.30227453,9.439608621,0.0131755
1979,-5.238182704,9.689048923,9.894732025,0.03174683
1980,6.735821529,9.026071739,9.651880609,0.042484827
1981,6.006203626,9.213690315,9.626165893,0.047506181
1982,3.47573324,9.269121352,10.17257278,0.03591159
1983,7.288892903,9.268497406,10.09112099,0.002584047
1984,3.820737856,9.306539864,10.35591089,0.009068703
1985,5.254299223,10.07541854,10.93019263,0.045627777
1986,4.776564168,10.42730886,11.55025711,0.047283784
1987,3.965355635,10.40830997,11.92901342,0.076091199
1988,9.627782916,10.35673801,11.60436023,0.030766482
1989,5.947343332,10.46834451,11.5637623,0.085156734
1990,5.533454561,9.993591396,11.2854919,0.073740021
1991,1.056831433,10.17092242,11.07872625,0.02722554
1992,5.482396022,9.805228442,10.91504648,0.095941829
1993,4.75077622,8.53523362,11.00266504,0.197056163
1994,6.658924067,8.981772016,10.43581347,0.297385909
1995,7.57449184,9.226824691,10.54026752,0.594986258
1996,7.549522249,9.231468691,10.33088968,0.617479056
1997,4.049820849,9.008577732,11.0287262,0.860208566
1998,6.184415821,8.113143511,11.90988981,0.625285966
1999,8.845755561,8.638300028,12.17548961,0.472644846
2000,3.840991157,8.810143496,11.94783547,0.765212649
2001,4.823966264,8.079454445,11.76144989,1.056378305
2002,3.803975321,8.676273931,11.31409507,1.011571805
2003,7.860381476,9.108084322,10.87620991,0.605889255
2004,7.922936613,9.570817081,10.40470235,0.765601405
2005,7.923430621,10.08093153,10.3661402,0.88610072
2006,8.060732573,11.12933705,9.802470468,2.130168425
2007,7.660815065,12.10834699,9.862115728,2.073395746
2008,3.08669806,10.97717215,10.53848116,3.620521897
2009,7.861888833,9.809725406,11.45966742,2.651593127
2010,8.497584702,10.38803979,11.00760787,1.635034274
2011,5.241315001,10.1773872,11.08446159,2.002065552
2012,5.456388753,10.83677172,10.68385623,1.312934337
2013,6.386106401,11.00162569,10.29516014,1.516275965
2014,7.410227605,9.984654191,10.44085681,1.695658786
2015,7.996253786,10.56970905,10.42829071,2.092115758
2016,8.256305502,11.14773842,10.30854807,1.937363198
2017,6.795383419,11.38744398,10.76719895,1.507316581
2018,6.453851345,12.01742775,10.82321853,1.558214793
